127.0.0.1, 2011-05-26 16:41:24, GET, /, HTTP/1.1, 303, 0.000887
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.490990
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.000644
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.001389
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001961
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002759
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001473
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000814
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.002269
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.004762
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000517
127.0.0.1, 2011-05-26 16:41:24, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000533
127.0.0.1, 2011-05-26 16:41:25, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000440
127.0.0.1, 2011-05-26 16:41:25, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2011-05-26 16:41:25, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000885
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/default/index, HTTP/1.1, 200, 0.179563
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002342
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.002549
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000965
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.001355
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002687
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.002790
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001471
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001577
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000470
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000445
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001106
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001889
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001034
127.0.0.1, 2011-05-26 16:42:07, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.003290
127.0.0.1, 2011-05-26 16:42:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000408
127.0.0.1, 2011-05-26 16:42:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000524
127.0.0.1, 2011-05-26 16:42:09, POST, /admin/default/index, HTTP/1.1, 303, 0.029288
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/default/site, HTTP/1.1, 200, 0.040575
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001656
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.003055
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.003809
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002300
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002426
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001229
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.003049
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000583
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000847
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.002282
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.002616
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.002204
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000868
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.001223
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.001977
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000500
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.002674
127.0.0.1, 2011-05-26 16:42:09, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000896
127.0.0.1, 2011-05-26 16:42:09, POST, /admin/default/check_version, HTTP/1.1, 200, 0.097322
127.0.0.1, 2011-05-26 16:42:10, GET, /admin/default/twitter, HTTP/1.1, 200, 0.416731
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/wizard/index, HTTP/1.1, 200, 0.027336
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000911
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002719
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000584
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002016
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001568
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000805
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.001235
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001215
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000610
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.002707
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.001170
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001091
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001940
127.0.0.1, 2011-05-26 16:42:22, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.002061
127.0.0.1, 2011-05-26 16:42:31, POST, /admin/wizard/index, HTTP/1.1, 303, 0.020141
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/wizard/step1, HTTP/1.1, 200, 0.087602
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001902
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.004885
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001559
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.002467
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.005209
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.003078
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001745
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001221
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000496
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000606
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001723
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.002553
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.001879
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001076
127.0.0.1, 2011-05-26 16:42:31, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001466
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/default/index, HTTP/1.1, 303, 0.005615
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/default/site, HTTP/1.1, 200, 0.039892
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000425
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000429
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001378
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000851
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001788
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001103
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.001416
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003424
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000491
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000490
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000354
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.002288
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000715
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.002486
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.003475
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.003543
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.007332
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.002060
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.001787
127.0.0.1, 2011-05-26 16:42:48, GET, /admin/default/twitter, HTTP/1.1, 200, 0.385026
